DB00050,c12c(cccc1)ccc(c2)C[C@@H](NC(=O)C)C(=O)N[C@@H](C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)CCCNC(=N)N)CCCNC(=O)N)CO)Cc1ccc(cc1)Cl
DB00152,s1c(c([n+](Cc2c(nc(nc2)C)N)c1)C)CCO
DB00162,C1(=C(CCCC1(C)C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
DB00175,O([C@@H]1[C@@H]2[C@H]([C@H](C=CC2=C[C@@H](O)C1)C)CC[C@@H](O)C[C@@H](O)CC(=O)O)C(=O)[C@H](CC)C
DB00176,C(c1ccc(/C(=N/OCCN)/CCCCOC)cc1)(F)(F)F
DB00177,OC(=O)[C@@H](N(Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1)C(=O)CCCC)C(C)C
DB00178,c1ccccc1CC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(=O)O)C(=O)OCC
DB00180,[C@]12(C(=CC(=O)C=C1)[C@H](C[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@@H]1[C@]2(OC(O1)(C)C)C(=O)CO)C)O)F)C
DB00181,Clc1ccc(C(CC(=O)O)CN)cc1
DB00182,c1(ccccc1)CC(C)N
DB00184,N1([C@H](c2cnccc2)CCC1)C
DB00185,C12CCN(C[C@]32CSC(O3)C)CC1
DB00186,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1c(Cl)cccc1
DB00187,O(CC(O)CNC(C)C)c1ccc(CCC(=O)OC)cc1
DB00188,c1(nccnc1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)B(O)O)Cc1ccccc1
DB00191,NC(Cc1ccccc1)(C)C
DB00193,O[C@]1([C@H](CCCC1)CN(C)C)c1cc(OC)ccc1
DB00195,C1CC1COCCc1ccc(OCC(CNC(C)C)O)cc1
DB00196,Fc1c(C(O)(Cn2ncnc2)Cn2ncnc2)ccc(F)c1
DB00197,S1C(Cc2ccc(OCC3(Oc4c(CC3)c(c(O)c(c4C)C)C)C)cc2)C(=O)NC1=O
DB00198,O([C@H]1[C@H](NC(=O)C)[C@@H](N)CC(=C1)C(=O)OCC)C(CC)CC
DB00199,O([C@@H]1[C@H]([C@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@H](C(=O)O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@@H](C[C@]1(O)C)C)C)C)CC)C)C)[C@@H]1O[C@@H](C[C@H](N(C)C)[C@H]1O)C
DB00200,C12=C(C3=[N+]4C(=CC5=[N+]6C(=C(C7=[N+]8[C@]([C@@H]9N1[Co-3]468([n+]1c4cc(C)c(cc4n(c1)[C@H]1O[C@H](CO)[C@H]([C@H]1O)OP(=O)(O[C@@H](CNC(=O)CC[C@]2(C)[C@H]9CC(=O)N)C)[O-])C)O)(C)[C@]([C@@H]7CCC(=O)N)(CC(=O)N)C)C)[C@@]([C@@H]5CCC(=O)N)(C)CC(=O)N)C([C@@H]3CCC(=O)N)(C)C)C
DB00201,O=c1n(c(=O)n(c2ncn(c12)C)C)C
DB00202,O(CC[N+](C)(C)C)C(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,c1(c2nc3c(c(=O)[nH]2)n(nc3CCC)C)c(ccc(c1)S(=O)(=O)N1CCN(CC1)C)OCC
DB00204,S(=O)(=O)(Nc1ccc(CCN(CCOc2ccc(NS(=O)(=O)C)cc2)C)cc1)C
DB00205,Clc1ccc(c2c(nc(nc2N)N)CC)cc1
DB00206,[C@H]12[C@H](C[C@H]3N(C1)CCc1c3[nH]c3c1ccc(c3)OC)[C@H](C(=O)OC)[C@@H](OC)[C@@H](C2)OC(=O)c1cc(c(c(c1)OC)OC)OC
DB00207,N1(C[C@@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O[C@@H]([C@]([C@@H]([C@H]1C)O)(O)C)CC)C)O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O)(O)C)C)C
